ctrl_iteration,exec_time,tau_i,tau_o
712,3667.49,1.20,0.45
713,3493.76,1.25,0.45
714,4291.39,1.25,0.45
715,3126.78,1.20,0.45
716,1971.04,1.20,0.45
717,3750.68,1.25,0.45
718,4549.30,1.25,0.45
719,3384.46,1.25,0.45
720,4183.11,1.25,0.45
721,3026.64,1.25,0.45
722,2835.45,1.25,0.45
723,4615.00,1.20,0.45
724,3450.92,1.20,0.45
725,2294.87,1.25,0.45
726,2120.24,1.25,0.45
727,1928.58,1.25,0.45
728,2727.24,1.20,0.45
729,2543.56,1.25,0.45
730,2361.43,1.25,0.45
731,2177.72,1.25,0.45
732,1992.06,1.20,0.45
733,1802.73,13.65,0.60
734,2601.47,1.20,0.45
735,4372.45,1.25,0.45
736,4189.19,1.25,0.50
737,3997.93,1.25,0.45
738,3815.08,1.25,0.45
739,4613.30,1.25,0.45
740,3448.37,1.25,0.45
741,3265.42,1.25,0.45
742,4063.95,1.20,0.45
743,2899.24,1.25,0.45
744,3697.03,1.25,0.45
745,3505.77,1.25,0.45
746,4295.65,1.25,0.45
747,3130.87,1.25,0.45
748,2947.83,1.25,0.45
749,3746.25,1.20,0.45
750,3554.28,1.25,0.45
751,4353.65,1.25,0.45
752,3188.23,1.25,0.45
753,3986.22,1.20,0.45
754,2813.46,1.25,0.45
755,2630.55,1.25,0.45
756,2447.00,1.25,0.45
757,2264.07,1.20,0.45
758,2081.22,1.25,0.45
759,1898.24,1.25,0.45
760,2695.82,1.25,0.45
761,2504.60,1.25,0.45
762,2321.37,1.20,0.45
763,2138.01,1.25,0.45
764,1955.20,1.25,0.45
765,4699.56,1.25,0.45
766,3526.14,1.25,0.45
767,3334.48,1.20,0.45
768,4124.90,1.25,0.45
769,2959.20,1.25,0.45
770,3757.60,1.25,0.45
771,4547.65,1.20,0.45
772,3383.05,1.25,0.45
773,4181.59,1.25,0.45
774,3016.18,1.25,0.45
775,2842.37,1.25,0.45
776,3640.60,1.25,0.45
777,3448.60,1.25,0.45
778,4247.32,1.25,0.45
779,3073.97,1.25,0.45
780,1918.17,1.25,0.45
781,6625.61,1.25,0.50
782,5460.82,1.20,0.45
783,4574.06,1.20,0.45
784,2150.12,1.25,0.50
785,1957.83,1.25,0.45
786,2756.69,1.25,0.50
787,2565.05,1.20,0.45
788,2372.91,1.20,0.45
789,2181.74,1.25,0.45
790,1989.30,1.20,0.45
791,1797.72,1.25,0.50
792,2587.68,1.20,0.45
793,2395.70,1.20,0.45
794,4166.83,1.25,0.45
795,3975.46,1.20,0.45
796,2819.28,1.25,0.45
797,4590.75,1.25,0.50
798,3425.73,1.25,0.45
799,4224.64,1.25,0.45
800,3050.91,1.25,0.45
801,2859.53,1.25,0.45
802,4629.80,1.25,0.45
803,3457.54,1.25,0.45
804,4247.16,1.25,0.45
805,3082.52,1.25,0.45
806,2899.12,1.20,0.45
807,3688.61,1.25,0.45
808,3497.15,1.25,0.50
809,4295.23,1.25,0.45
810,3122.42,1.25,0.45
811,1957.85,1.20,0.45
812,6664.94,1.25,0.50
813,4537.09,1.25,0.45
814,2381.30,1.20,0.45
815,2198.51,1.25,0.45
816,2006.61,1.25,0.45
817,1814.53,1.25,0.45
