ctrl_iteration,exec_time,tau_i,tau_o
778,2144.73,2.10,0.60
779,3916.22,2.05,0.60
780,2742.95,2.10,0.60
781,4523.31,2.10,0.60
782,3358.55,2.30,0.65
783,3175.78,2.10,0.60
784,3965.28,2.10,0.60
785,2800.80,2.10,0.60
786,3590.07,2.10,0.60
787,3398.69,2.10,0.60
788,4188.30,2.30,0.60
789,3014.93,2.10,0.60
790,2823.08,2.10,0.60
791,4594.58,2.05,0.65
792,3420.81,2.10,0.65
793,4210.87,2.10,0.60
794,3038.18,2.10,0.60
795,2845.72,2.10,0.65
796,4608.50,2.10,0.65
797,3460.62,2.10,0.60
798,4224.69,2.05,0.60
799,2087.28,2.10,0.65
800,1895.49,2.10,0.60
801,2676.62,2.05,0.60
802,2484.52,2.10,0.60
803,2293.31,2.10,0.60
804,2101.02,2.10,0.60
805,1908.63,2.05,0.60
806,2707.88,2.10,0.65
807,2516.50,2.10,0.60
808,2323.70,2.10,0.60
809,4095.28,2.10,0.60
810,2922.20,2.10,0.60
811,2739.34,2.10,0.60
812,4510.76,2.10,0.65
813,3336.66,2.05,0.60
814,4127.16,2.10,0.60
815,2962.26,2.10,0.65
816,2770.86,2.10,0.60
817,4532.93,2.10,0.60
818,3359.73,2.30,0.60
819,4149.99,2.10,0.60
820,2976.07,2.10,0.60
821,3766.18,2.10,0.60
822,4547.43,2.10,0.60
823,3382.78,2.10,0.60
824,3199.63,2.05,0.60
825,3007.65,2.10,0.60
826,3797.99,2.10,0.60
827,4586.76,2.10,0.60
828,2440.46,2.10,0.65
829,2240.25,2.05,0.60
830,2049.00,2.10,0.60
831,1856.91,2.05,0.60
832,2646.22,2.10,0.60
833,2454.52,2.10,0.60
834,2262.96,2.10,0.65
835,2070.81,2.10,0.60
836,1879.20,2.10,0.60
837,2686.44,2.10,0.60
838,4431.86,2.10,0.60
839,4240.72,2.10,0.65
840,4047.88,2.10,0.65
841,2883.33,2.30,0.60
842,3674.53,2.10,0.60
843,3481.27,2.10,0.60
844,4280.41,2.25,0.60
845,3097.58,2.10,0.60
846,1932.99,2.10,0.65
847,6632.12,2.10,0.60
848,5450.70,2.10,0.65
849,5258.40,2.10,0.60
850,4085.02,2.10,0.65
851,2911.22,2.10,0.65
852,4691.50,2.05,0.65
853,3518.27,2.10,0.65
854,3327.06,2.05,0.60
855,4107.44,2.05,0.60
856,2942.47,2.10,0.60
857,1769.68,2.10,0.60
858,4539.80,2.10,0.60
859,2359.08,2.10,0.60
860,2158.44,2.10,0.60
861,1966.21,2.10,0.60
862,1896.30,2.10,0.60
863,2573.15,2.10,0.60
864,2381.46,2.10,0.65
865,2189.25,2.10,0.60
866,1910.93,2.10,0.65
867,1718.96,2.10,0.60
868,3482.76,2.10,0.60
869,3298.82,2.10,0.60
870,4088.53,2.05,0.60
871,2915.39,2.10,0.60
872,3713.64,2.10,0.60
873,3530.47,2.10,0.60
874,2356.86,2.10,0.60
875,4119.58,2.10,0.60
876,2955.51,2.05,0.60
877,3762.29,2.10,0.60
878,4535.12,2.10,0.60
879,4343.41,2.05,0.65
880,3168.94,2.10,0.60
881,3951.58,2.10,0.65
882,2785.31,2.10,0.65
883,3575.68,2.10,0.60
884,3375.86,2.10,0.60
885,4165.26,2.10,0.65
886,2991.57,2.10,0.60
887,1818.19,2.10,0.60
888,4598.57,2.10,0.65
889,2415.71,2.10,0.60
890,2233.37,2.10,0.60
891,2049.72,2.05,0.65
892,1866.45,2.10,0.60
893,2656.87,2.10,0.60
894,2465.03,2.10,0.60
895,2282.07,2.10,0.60
896,2098.69,2.10,0.60
897,1906.88,2.10,0.60
898,1723.45,2.10,0.60
899,4485.40,2.10,0.60
900,3320.44,2.10,0.60
901,4119.71,2.10,0.60
902,2954.56,2.10,0.60
903,2771.45,2.10,0.60
904,4535.02,2.10,0.60
905,3369.23,2.10,0.60
906,4167.11,2.10,0.60
907,3003.38,2.10,0.60
908,3801.14,2.10,0.60
909,2628.46,2.10,0.65
910,3426.76,2.10,0.60
911,2540.16,2.10,0.65
912,3321.41,2.10,0.60
913,2860.26,2.10,0.60
914,3658.35,2.10,0.60
915,4457.66,2.10,0.60
916,3292.28,2.10,0.65
917,2136.46,2.10,0.65
918,1953.05,2.10,0.65
919,1761.58,2.10,0.60
920,2559.53,2.10,0.60
921,2376.72,2.10,0.60
922,2185.64,2.10,0.60
923,2002.02,2.10,0.60
924,1810.68,2.10,0.60
